Name,State,Lat,Lon,Elev_m,climSWE,dSWE,HUC02
West Yellowstone,USMT,44.6600,-111.0900,2042.2,100.0,0.0,HUC10
Whiskey Creek,USMT,44.6100,-111.1500,2072.6,89.0,0.0,HUC10
White Mill,USMT,45.0500,-109.9100,2651.8,107.0,0.0,HUC10
Wood Creek,USMT,47.4500,-112.8100,1816.6,88.0,0.0,HUC10
Bateman,USNM,36.5100,-106.3200,2834.6,87.0,-0.4,HUC13
Chamita,USNM,36.9600,-106.6600,2560.3,106.0,-0.2,HUC13
Elk Cabin,USNM,35.7000,-105.8100,2502.4,NaN,0.0,HUC13
Frisco Divide,USNM,33.7400,-108.9500,2438.4,NaN,0.0,HUC15
Gallegos Peak,USNM,36.1900,-105.5600,2987.0,85.0,NaN,HUC13
Garita Peak,USNM,36.0100,-106.5500,3096.8,NaN,0.0,HUC13
Hopewell,USNM,36.7200,-106.2600,3048.0,89.0,0.0,HUC13
Lookout Mountain,USNM,33.3600,-107.8300,2590.8,NaN,0.0,HUC15
Mcknight Cabin,USNM,33.0100,-107.8700,2816.4,NaN,0.0,HUC13
Navajo Whiskey Ck,USNM,36.1800,-108.9500,2758.4,NaN,NaN,HUC14
North Costilla,USNM,36.9900,-105.2600,3230.9,164.0,-0.3,HUC13
Palo,USNM,36.4100,-105.3300,2849.9,NaN,-0.5,HUC13
Quemazon,USNM,35.9200,-106.3900,2895.6,0.0,0.0,HUC13
Red River Pass #2,USNM,36.7000,-105.3400,3002.3,110.0,0.0,HUC13
Rice Park,USNM,35.2300,-108.2700,2578.6,NaN,NaN,HUC13
Rio Santa Barbara,USNM,36.0700,-105.6300,3250.4,NaN,0.0,HUC13
San Antonio Sink,USNM,36.8600,-106.2300,2773.7,NaN,-0.5,HUC13
Santa Fe,USNM,35.7700,-105.7800,3488.4,70.0,0.0,HUC13
Senorita Divide #2,USNM,36.0000,-106.8300,2621.3,100.0,-0.3,HUC13
Shuree,USNM,36.7900,-105.2400,3078.5,NaN,-0.3,HUC13
Sierra Blanca,USNM,33.4000,-105.7900,3133.3,NaN,0.0,HUC13
Signal Peak,USNM,32.9200,-108.1500,2548.1,NaN,0.0,HUC15
Silver Creek Divide,USNM,33.3700,-108.7100,2743.2,39.0,-0.6,HUC15
Taos Powderhorn,USNM,36.5800,-105.4600,3370.2,NaN,0.0,HUC13
Tolby,USNM,36.4700,-105.1900,3102.9,NaN,0.0,HUC11
Tres Ritos,USNM,36.1300,-105.5300,2621.3,NaN,0.0,HUC13
Vacas Locas,USNM,36.0300,-106.8100,2836.5,NaN,-0.7,HUC13
Wesner Springs,USNM,35.7800,-105.5400,3389.4,77.0,0.0,HUC13
Bear Creek,USNV,41.8300,-115.4500,2450.6,99.0,0.0,HUC17
Berry Creek,USNV,39.3200,-114.6200,2858.1,83.0,0.0,HUC16
Big Bend,USNV,41.7600,-115.6900,2102.5,85.0,0.0,HUC17
Big Creek Sum,USNV,39.2900,-117.1200,2647.2,118.0,0.0,HUC16
Big Meadow,USNV,39.4500,-119.9400,2510.0,74.0,-0.4,HUC16
Bird Creek,USNV,39.4600,-114.6500,2297.3,NaN,0.0,HUC16
Bristlecone Trail,USNV,36.3200,-115.7000,2709.7,NaN,-0.6,HUC15
Buckskin Lower,USNV,41.7500,-117.5300,2112.3,144.0,0.0,HUC16
Cave Mountain,USNV,39.1600,-114.6100,3224.2,NaN,0.0,HUC16
Corral Canyon,USNV,40.2800,-115.5400,2574.0,106.0,0.0,HUC16
Diamond Peak,USNV,39.5600,-115.8400,2443.6,213.0,-0.4,HUC16
Disaster Peak,USNV,41.9700,-118.1900,1908.0,NaN,-0.7,HUC16
Dorsey Basin,USNV,40.8900,-115.2100,2408.8,103.0,-3.7,HUC16
Draw Creek,USNV,41.6600,-115.3200,2234.8,101.0,-0.3,HUC16
Dry Creek,USNV,40.8600,-115.2200,1998.0,NaN,-0.5,HUC16
Fawn Creek,USNV,41.8200,-116.1000,2143.0,90.0,0.0,HUC17
Fry Canyon,USNV,41.5700,-115.9400,2072.0,NaN,0.0,HUC16
Golconda,USNV,40.8800,-117.5900,2016.6,NaN,-0.5,HUC16
Granite Peak,USNV,41.6700,-117.5700,2591.7,103.0,-0.3,HUC16
Green Mountain,USNV,40.3800,-115.5300,2494.8,88.0,-0.5,HUC16
Hole-in-Mountain,USNV,40.9400,-115.1000,2488.1,71.0,0.0,HUC16
Jack Creek Upper,USNV,41.5500,-116.0100,2248.5,94.0,0.0,HUC17
Jacks Peak,USNV,41.5100,-116.0100,2567.6,NaN,NaN,HUC17
Kalamazoo,USNV,39.5600,-114.6300,2369.8,NaN,0.0,HUC16
Lamance Creek,USNV,41.5200,-117.6300,1949.2,138.0,0.2,HUC16
Lamoille #3,USNV,40.6400,-115.3800,2453.9,100.0,-0.4,HUC16
Laurel Draw,USNV,41.7800,-116.0300,2036.7,106.0,0.0,HUC17
Lee Canyon,USNV,36.3100,-115.6800,2629.2,NaN,0.0,HUC15
Lewis Peak,USNV,40.3600,-116.8600,2246.4,NaN,-0.2,HUC16
Little Valley,USNV,39.2500,-119.8800,1979.1,NaN,-1.2,HUC16
Marlette Lake,USNV,39.1600,-119.9000,2403.0,75.0,0.2,HUC16
Merritt Mountain,USNV,41.8900,-115.8600,2107.7,NaN,NaN,HUC17
Mt Rose Ski Area,USNV,39.3200,-119.8900,2682.5,66.0,0.0,HUC16
ONeil Creek,USNV,41.8600,-115.0800,1987.3,NaN,-0.2,HUC17
Pole Canyon,USNV,40.8600,-115.1200,2365.2,NaN,0.0,HUC16
Pole Creek R.S.,USNV,41.8700,-115.2500,2548.1,99.0,NaN,HUC17
Porter Canyon,USNV,39.4700,-117.6200,2190.6,NaN,0.0,HUC16
Rainbow Canyon,USNV,36.2500,-115.6300,2395.7,NaN,0.0,HUC15
Seventysix Creek,USNV,41.7400,-115.4700,2240.3,91.0,0.0,HUC17
Sheldon,USNV,41.9000,-119.4400,1787.7,NaN,0.0,HUC17
Summit Lk,USNV,41.4900,-119.0000,2321.1,NaN,-0.8,HUC16
Taylor Canyon,USNV,41.2300,-116.0300,1927.9,NaN,0.0,HUC17
Toe Jam,USNV,41.3200,-116.3400,2343.9,NaN,-0.4,HUC16
Vacarro Springs,USNV,39.4500,-115.9800,2404.9,NaN,-0.3,HUC16
Ward Mountain,USNV,39.1300,-114.9600,2792.9,66.0,-0.2,HUC15
Wheeler Peak,USNV,39.0100,-114.3100,3066.3,NaN,0.0,HUC16
Aneroid Lake #2,USOR,45.2100,-117.1900,2255.5,73.0,NaN,HUC17
Annie Springs,USOR,42.8700,-122.1700,1831.8,NaN,0.2,HUC18
Arbuckle Mtn,USOR,45.1900,-119.2500,1758.7,108.0,-0.3,HUC17
Bear Grass,USOR,44.3300,-122.0900,1438.7,NaN,0.6,HUC17
Beaver Reservoir,USOR,45.1500,-118.2200,1569.7,171.0,0.0,HUC17
Big Red Mountain,USOR,42.0500,-122.8500,1844.0,78.0,0.0,HUC17
Bigelow Camp,USOR,42.0800,-123.3400,1563.6,120.0,-1.0,HUC17
Billie Creek Divide,USOR,42.4100,-122.2700,1609.3,114.0,-0.4,HUC18
Blazed Alder,USOR,45.4300,-121.8600,1112.5,139.0,0.0,HUC17
Blue Mountain Spring,USOR,44.2500,-118.5200,1789.2,87.0,-0.4,HUC17
Bourne,USOR,44.8300,-118.1900,1783.1,104.0,-0.5,HUC17
Bowman Springs,USOR,45.3600,-118.4700,1380.7,282.0,-0.4,HUC17
Cascade Summit,USOR,43.5900,-122.0600,1554.5,104.0,0.0,HUC17
Chemult Alternate,USOR,43.2300,-121.8100,1478.3,62.0,-0.7,HUC18
Clackamas Lake,USOR,45.1000,-121.7500,1036.3,148.0,0.0,HUC17
Clear Lake,USOR,45.1900,-121.6900,1161.3,122.0,0.0,HUC17
Cold Springs Camp,USOR,42.5300,-122.1800,1810.5,69.0,-0.7,HUC18
County Line,USOR,45.1900,-118.5500,1472.2,NaN,-0.6,HUC17
Crazyman Flat,USOR,42.6400,-120.9500,1883.7,NaN,-1.1,HUC18
Daly Lake,USOR,44.5200,-122.0900,1124.7,105.0,-0.3,HUC17
Derr.,USOR,44.4500,-119.9300,1783.1,121.0,-0.3,HUC17
Diamond Lake,USOR,43.1900,-122.1400,1609.3,124.0,-0.7,HUC17
Eilertson Meadows,USOR,44.8700,-118.1100,1679.4,153.0,-0.4,HUC17
Emigrant Springs,USOR,45.5600,-118.4500,1158.2,NaN,-0.5,HUC17
Fish Creek,USOR,42.7100,-118.6300,2334.8,104.0,0.0,HUC17
Fish Lk.,USOR,42.3800,-122.3500,1420.4,156.0,-0.3,HUC17
Fourmile Lake,USOR,42.4400,-122.2300,1819.7,69.0,-0.2,HUC18
Gerber Reservoir,USOR,42.2100,-121.1300,1490.5,NaN,0.0,HUC18
Gold Center,USOR,44.7600,-118.3100,1649.0,258.0,-0.6,HUC17
Greenpoint,USOR,45.6200,-121.7000,1008.9,112.0,0.0,HUC17
High Ridge,USOR,45.7000,-118.1100,1499.6,147.0,0.0,HUC17
Hogg Pass,USOR,44.4200,-121.8600,1460.0,59.0,0.0,HUC17
Holland Meadows,USOR,43.6700,-122.5700,1502.7,108.0,-0.3,HUC17
Howard Prairie,USOR,42.2200,-122.3700,1396.0,NaN,0.0,HUC18
Irish Taylor,USOR,43.8000,-121.9500,1688.6,99.0,0.0,HUC17
Jump Off Joe,USOR,44.3900,-122.1700,1072.9,123.0,-0.3,HUC17
King Mountain,USOR,42.7200,-123.2000,1322.8,NaN,-0.4,HUC17
Lake Creek R.S.,USOR,44.2100,-118.6400,1597.2,103.0,-0.6,HUC17
Little Meadows,USOR,44.6100,-122.2300,1225.3,147.0,0.0,HUC17
Lucky Strike,USOR,45.2700,-118.8500,1514.9,175.0,-0.2,HUC17
Madison Butte,USOR,45.1100,-119.5000,1569.7,NaN,-0.6,HUC17
Marion Forks,USOR,44.5900,-121.9700,789.4,100.0,0.0,HUC17
Mckenzie,USOR,44.2100,-121.8700,1453.9,117.0,0.0,HUC17
Milk Shakes,USOR,45.9800,-117.9500,1700.8,NaN,0.8,HUC17
Miller Woods,USOR,45.2500,-123.2800,128.0,NaN,0.0,HUC17
Moss Springs,USOR,45.2700,-117.6900,1755.6,121.0,0.0,HUC17
Mt Hood Test Site,USOR,45.3200,-121.7200,1636.8,127.0,-0.2,HUC17
Mt. Howard,USOR,45.2700,-117.1700,2411.0,88.0,0.0,HUC17
Mud Ridge,USOR,45.2500,-121.7400,1240.5,155.0,0.0,HUC17
New Crescent Lake,USOR,43.5100,-121.9800,1496.6,156.0,-0.5,HUC17
North Fork,USOR,45.5500,-122.0000,932.7,143.0,0.0,HUC17
Ochoco Meadows,USOR,44.4300,-120.3300,1655.1,77.0,-0.9,HUC17
Peavine Ridge,USOR,45.0400,-121.9300,1042.4,155.0,-0.2,HUC17
Quartz Mountain,USOR,42.3200,-120.8300,1743.5,NaN,0.0,HUC18
Railroad Overpass,USOR,43.6600,-122.2100,816.9,NaN,0.0,HUC17
Red Hill,USOR,45.4600,-121.7000,1344.2,118.0,0.0,HUC17
Roaring River,USOR,43.9000,-122.0300,1508.8,125.0,0.0,HUC17
Rock Springs,USOR,44.0100,-118.8400,1612.4,NaN,-0.8,HUC17
Saddle Mountain,USOR,45.5400,-123.3700,947.9,NaN,-0.8,HUC17
Salt Creek Falls,USOR,43.6100,-122.1200,1286.3,143.0,0.0,HUC17
Santiam Jct.,USOR,44.4400,-121.9500,1140.0,182.0,-0.6,HUC17
Schneider Meadows,USOR,45.0000,-117.1700,1645.9,116.0,-0.2,HUC17
Seine Creek,USOR,45.5300,-123.3000,627.9,NaN,0.0,HUC17
Sevenmile Marsh,USOR,42.7000,-122.1400,1737.4,87.0,0.0,HUC18
Silver Creek,USOR,42.9600,-121.1800,1749.6,45.0,-0.8,HUC17
Silvies,USOR,42.7500,-118.6900,2130.6,120.0,0.2,HUC17
Smith Ridge,USOR,44.3000,-122.0400,996.7,NaN,-1.9,HUC17
Snow Mountain,USOR,43.9500,-119.5400,1898.9,112.0,-0.2,HUC17
South Fork Bull Run,USOR,45.4500,-122.0300,819.9,NaN,-0.4,HUC17
Starr Ridge,USOR,44.2600,-119.0200,1600.2,NaN,-0.8,HUC17
Strawberry,USOR,42.1300,-120.8400,1758.7,NaN,0.0,HUC18
Summer Rim,USOR,42.7000,-120.8000,2158.0,45.0,-0.2,HUC18
Summit Lake,USOR,43.4500,-122.1400,1709.9,99.0,0.0,HUC17
Sun Pass,USOR,42.7900,-121.9800,1645.9,NaN,-0.4,HUC18
Swan Lake Mtn,USOR,42.4100,-121.6800,2081.8,NaN,-0.5,HUC18
Taylor Butte,USOR,42.6900,-121.4300,1533.1,NaN,0.0,HUC18
Taylor Green,USOR,45.0800,-117.5500,1749.6,138.0,0.0,HUC17
Three Creeks Meadow,USOR,44.1400,-121.6400,1734.3,78.0,0.0,HUC17
Tipton,USOR,44.6600,-118.4300,1569.7,118.0,0.0,HUC17
Toketee Airstrip,USOR,43.2300,-122.4300,987.6,NaN,0.0,HUC17
Wolf Creek,USOR,45.0700,-118.1500,1716.0,107.0,0.0,HUC17
Blind Park,USSD,44.1100,-103.9800,2100.1,65.0,0.3,HUC10
North Rapid Creek,USSD,44.2100,-103.7900,1868.4,NaN,0.0,HUC10
Agua Canyon,USUT,37.5200,-112.2700,2712.7,NaN,0.0,HUC16
Bear River RS,USUT,40.8900,-110.8300,2675.2,NaN,-0.2,HUC16
Beaver Dams,USUT,39.1400,-111.5600,2435.4,112.0,-0.2,HUC16
Beaver Divide,USUT,40.6100,-111.1000,2523.7,60.0,0.0,HUC16
Ben Lomond Peak,USUT,41.3800,-111.9400,2343.6,76.0,0.2,HUC16
Ben Lomond Trail,USUT,41.3800,-111.9200,1820.3,65.0,-0.5,HUC16
Bevans Cabin,USUT,40.4600,-112.2500,1987.3,NaN,-0.3,HUC16
Big Flat,USUT,38.3000,-112.3600,3154.4,83.0,0.2,HUC16
Black Flat-U.M. Ck,USUT,38.6800,-111.6000,2869.4,121.0,-0.3,HUC14
Blacks Fork Jct,USUT,40.9600,-110.5800,2703.3,NaN,0.0,HUC14
Bobs Hollow,USUT,38.9500,-112.1500,2840.4,NaN,0.4,HUC16
Box Creek,USUT,38.5100,-112.0200,3003.2,57.0,-0.2,HUC16
Box Springs,USUT,38.5000,-112.0100,2812.7,NaN,0.0,HUC16
Brian Head,USUT,37.6800,-112.8600,3059.9,NaN,0.0,HUC16
Brighton,USUT,40.6000,-111.5800,2671.9,76.0,0.0,HUC16
Brown Duck,USUT,40.5800,-110.5900,3223.0,84.0,0.0,HUC14
Buck Flat,USUT,39.1300,-111.4400,2867.9,76.0,0.0,HUC14
Buck Pasture,USUT,40.8400,-110.6600,2935.8,NaN,0.0,HUC14
Buckboard Flat,USUT,37.8700,-109.4500,2720.0,NaN,-0.2,HUC14
Bug Lake,USUT,41.6900,-111.4200,2434.4,80.0,0.0,HUC16
Burts Miller Ranch,USUT,40.9800,-110.8500,2438.4,NaN,-0.4,HUC16
Camp Jackson,USUT,37.8100,-109.4900,2699.9,101.0,-0.4,HUC14
Cascade Mountain,USUT,40.2800,-111.6100,2369.5,NaN,NaN,HUC16
Castle Valley,USUT,37.6600,-112.7400,2928.2,73.0,-0.2,HUC16
Chalk Creek #1,USUT,40.8500,-111.0500,2795.3,71.0,0.0,HUC16
Chalk Creek #2,USUT,40.8900,-111.0700,2501.8,80.0,0.0,HUC16
Chepeta,USUT,40.7700,-110.0100,3200.1,82.0,0.0,HUC14
Clayton Springs,USUT,37.9700,-111.8300,3062.9,NaN,-0.2,HUC16
Clear Creek #1,USUT,39.8700,-111.2800,2735.6,78.0,0.0,HUC16
Clear Creek #2,USUT,39.8900,-111.2500,2388.7,98.0,0.0,HUC16
Corral,USUT,39.6600,-110.3800,2501.5,NaN,-0.4,HUC14
Currant Creek,USUT,40.3600,-111.0900,2412.5,94.0,-0.5,HUC14
Daniels-Strawberry,USUT,40.3000,-111.2600,2440.8,74.0,-0.2,HUC16
Dills Camp,USUT,39.0500,-111.4700,2812.7,85.0,-0.2,HUC14
Donkey Reservoir,USUT,38.2100,-111.4700,2986.7,92.0,-0.2,HUC14
Dry Bread Pond,USUT,41.4100,-111.5400,2530.4,77.0,0.0,HUC16
Dry Fork,USUT,40.5700,-112.1700,2161.9,92.0,0.3,HUC16
East Willow Creek,USUT,39.3100,-109.5300,2530.4,133.0,0.0,HUC14
EF Blacks Fork GS,USUT,40.8800,-110.5400,2852.9,NaN,0.0,HUC14
Farmington,USUT,40.9700,-111.8100,2408.5,67.0,0.2,HUC16
Farmington Lower,USUT,40.9900,-111.8200,2066.2,NaN,NaN,HUC16
Farnsworth Lake,USUT,38.7700,-111.6800,2933.1,91.0,0.3,HUC16
Fish Lake Utah,USUT,38.5000,-111.7700,2681.6,NaN,0.0,HUC14
Five Points Lake,USUT,40.7200,-110.4700,3335.4,80.0,-0.2,HUC14
Garden City Summit,USUT,41.9200,-111.4700,2348.5,NaN,0.0,HUC16
Gardner Peak,USUT,37.4000,-113.4600,2536.5,NaN,-0.2,HUC15
GBRC HQ,USUT,39.3200,-111.4900,2682.5,NaN,-0.5,HUC16
GBRC Meadows,USUT,39.3000,-111.4500,3004.7,NaN,0.0,HUC16
George Creek,USUT,41.9200,-113.4100,2732.2,NaN,0.0,HUC17
Gooseberry RS,USUT,38.8000,-111.6800,2421.3,89.0,-0.3,HUC16
Gooseberry RS Up,USUT,38.7900,-111.6900,2559.1,NaN,-0.5,HUC16
Gutz Peak,USUT,37.5000,-113.9400,2061.4,NaN,0.0,HUC15
Hardscrabble,USUT,40.8700,-111.7200,2209.8,93.0,0.0,HUC16
Harris Flat,USUT,37.4900,-112.5800,2375.0,NaN,0.0,HUC16
Hayden Fork,USUT,40.8000,-110.8800,2782.8,82.0,-0.9,HUC16
Hewinta,USUT,40.9500,-110.4800,2895.6,110.0,-0.3,HUC14
Hickerson Park,USUT,40.9100,-109.9600,2780.4,134.0,0.4,HUC14
Hobble Creek,USUT,40.1900,-111.3600,2248.5,NaN,-0.4,HUC16
Hole-in-Rock,USUT,40.9200,-110.1900,2794.4,119.0,0.0,HUC14
Horse Ridge,USUT,41.3100,-111.4500,2499.1,59.0,-0.4,HUC16
Huntington Horse,USUT,39.6200,-111.3100,2941.9,NaN,0.0,HUC14
Indian Canyon,USUT,39.8900,-110.7500,2795.3,84.0,0.7,HUC14
Jones Corral,USUT,38.0700,-112.1700,2971.5,NaN,0.2,HUC16
Kilfoil Creek,USUT,41.2500,-111.4100,2200.7,NaN,0.0,HUC16
Kimberly Mine,USUT,38.4800,-112.3900,2774.0,100.0,0.2,HUC16
Kings Cabin,USUT,40.7200,-109.5400,2660.3,74.0,0.8,HUC14
Klondike Narrows,USUT,41.9700,-111.6000,2209.8,NaN,0.0,HUC16
Kolob,USUT,37.5300,-113.0500,2823.4,65.0,0.0,HUC15
Lakefork #1,USUT,40.6000,-110.4300,3087.0,77.0,-0.5,HUC14
Lakefork #3,USUT,40.5500,-110.3500,2579.8,NaN,0.0,HUC14
Lakefork Basin,USUT,40.7400,-110.6200,3317.7,87.0,0.0,HUC14
Lasal Mountain,USUT,38.4800,-109.2700,2919.4,104.0,-0.3,HUC14
Lasal Mountain-Lower,USUT,38.4800,-109.2900,2677.1,NaN,-0.2,HUC14
Lightning Ridge,USUT,41.3600,-111.4900,2503.9,NaN,0.0,HUC16
Lily Lake,USUT,40.8600,-110.8000,2783.7,90.0,0.0,HUC16
Little Bear,USUT,41.4100,-111.8300,1995.8,66.0,0.0,HUC16
Little Grassy,USUT,37.4900,-113.8500,1848.6,NaN,0.0,HUC16
Lonesome Beaver,USUT,38.0700,-110.7700,2868.2,NaN,-0.3,HUC14
Long Flat,USUT,37.5100,-113.4000,2432.9,67.0,-0.4,HUC16
Long Valley Jct,USUT,37.4900,-112.5100,2275.3,NaN,0.0,HUC16
Lookout Peak,USUT,40.8400,-111.7100,2487.5,93.0,0.0,HUC16
Lost Creek Resv,USUT,41.2200,-111.3600,1853.8,NaN,0.0,HUC16
Louis Meadow,USUT,40.8300,-111.7600,2042.2,NaN,-0.3,HUC16
Mammoth-Cottonwood,USUT,39.6800,-111.3200,2654.5,75.0,-0.2,HUC16
Merchant Valley,USUT,38.3000,-112.4400,2653.3,80.0,0.0,HUC16
Midway Valley,USUT,37.5700,-112.8400,2995.3,67.0,-0.4,HUC16
Mill-D North,USUT,40.6600,-111.6400,2731.9,88.0,0.0,HUC16
Mining Fork,USUT,40.4900,-112.6100,2528.3,95.0,0.0,HUC16
Monte Cristo,USUT,41.4700,-111.5000,2722.5,69.0,0.0,HUC16
Mosby Mtn.,USUT,40.6100,-109.8900,2911.8,82.0,0.2,HUC14
Mt Baldy,USUT,39.1400,-111.5100,2902.9,NaN,0.0,HUC16
Mt Pennell,USUT,37.9800,-110.7900,2806.9,NaN,-0.5,HUC14
Oak Creek,USUT,39.3500,-112.3300,2392.7,NaN,-0.4,HUC16
Panguitch Lake RS,USUT,37.7000,-112.6500,2545.1,NaN,-0.6,HUC16
Parleys Summit,USUT,40.7600,-111.6300,2311.9,98.0,-0.3,HUC16
Parleys Upper,USUT,40.7000,-111.6100,2546.0,NaN,0.0,HUC16
Parrish Creek,USUT,40.9300,-111.8100,2359.2,NaN,0.2,HUC16
Payson R.S.,USUT,39.9300,-111.6300,2451.8,75.0,-0.4,HUC16
Pickle Keg,USUT,39.0100,-111.5800,2749.3,93.0,0.0,HUC16
Pine Creek,USUT,38.8800,-112.2500,2662.1,91.0,0.2,HUC16
Red Pine Ridge,USUT,39.4500,-111.2700,2739.5,76.0,-0.3,HUC14
Redden Mine Lwr,USUT,40.6800,-111.2200,2600.6,NaN,-0.3,HUC16
Rees Flat,USUT,39.5000,-111.7300,2196.4,NaN,0.0,HUC16
Rock Creek,USUT,40.5500,-110.6900,2403.7,89.0,0.2,HUC14
Rocky Basin-Settleme,USUT,40.4400,-112.2200,2653.0,91.0,-0.2,HUC16
Santaquin Meadows,USUT,39.9200,-111.7200,2388.1,NaN,0.0,HUC16
Seeley Creek,USUT,39.3100,-111.4300,3018.7,76.0,0.0,HUC14
Smith Morehouse,USUT,40.7900,-111.0900,2325.9,66.0,0.0,HUC16
Snowbird,USUT,40.5700,-111.6600,2797.1,85.0,0.0,HUC16
Spirit Lk,USUT,40.8400,-110.0100,3119.6,NaN,0.0,HUC14
Steel Creek Park,USUT,40.9100,-110.5000,3096.2,97.0,0.0,HUC14
Strawberry Divide,USUT,40.1600,-111.2100,2475.9,67.0,-0.4,HUC14
Sunflower Flat,USUT,38.0500,-111.3400,3053.5,NaN,0.0,HUC14
Suu Ranch,USUT,37.6000,-112.9300,2453.6,NaN,-0.5,HUC16
Takka Wiiya,USUT,39.7400,-113.9800,2780.4,NaN,-0.2,HUC16
Temple Fork,USUT,41.7900,-111.5500,2257.3,NaN,0.0,HUC16
Thaynes Canyon,USUT,40.6200,-111.5300,2813.3,77.0,-0.2,HUC16
Thistle Flat,USUT,39.2400,-111.5200,2678.3,NaN,0.0,HUC16
Timberline,USUT,39.6800,-110.4300,2662.7,NaN,-0.3,HUC14
Timpanogos Divide,USUT,40.4300,-111.6200,2481.1,68.0,0.0,HUC16
Tony Grove Lake,USUT,41.9000,-111.6300,2582.9,73.0,0.0,HUC16
Tony Grove RS,USUT,41.8900,-111.5700,1930.0,NaN,-0.4,HUC16
Trial Lake,USUT,40.6800,-110.9500,3045.6,78.0,0.0,HUC16
Trout Creek,USUT,40.7400,-109.6700,2901.1,81.0,0.0,HUC14
Upper Joes Valley,USUT,39.4200,-111.2500,2620.1,NaN,-0.4,HUC14
Usu Doc Daniel,USUT,41.8600,-111.5100,2520.7,NaN,0.0,HUC16
Vernon Creek,USUT,39.9400,-112.4100,2255.8,100.0,-0.3,HUC16
Webster Flat,USUT,37.5800,-112.9000,2805.1,80.0,-0.3,HUC16
White River #1,USUT,39.9600,-110.9900,2633.8,73.0,0.2,HUC14
Widtsoe #3,USUT,37.8400,-111.8800,2938.3,89.0,-0.2,HUC16
Wrigley Creek,USUT,39.1300,-111.3600,2842.9,NaN,0.0,HUC14
Yankee Reservoir,USUT,37.7500,-112.7700,2649.3,NaN,-0.6,HUC16
Alpine Meadows,USWA,47.7800,-121.7000,1066.8,123.0,0.2,HUC17
Beaver Pass,USWA,48.8800,-121.2600,1106.4,NaN,0.0,HUC17
Blewett Pass,USWA,47.3500,-120.6800,1292.4,119.0,NaN,HUC17
Brown Top,USWA,48.9300,-121.2000,1777.0,NaN,0.2,HUC17
Buckinghorse,USWA,47.7100,-123.4600,1484.4,NaN,-0.2,HUC17
Bumping Ridge,USWA,46.8100,-121.3300,1405.1,124.0,0.0,HUC17
Bunchgrass Mdw,USWA,48.6900,-117.1800,1524.0,88.0,0.0,HUC17
Burnt Mountain,USWA,47.0400,-121.9400,1271.0,NaN,0.0,HUC17
Calamity,USWA,45.9000,-122.2200,762.0,NaN,-0.3,HUC17
Cayuse Pass,USWA,46.8700,-121.5300,1597.2,NaN,-0.3,HUC17
Corral Pass,USWA,47.0200,-121.4600,1767.8,122.0,0.0,HUC17
Cougar Mountain,USWA,47.2800,-121.6700,975.4,140.0,-0.3,HUC17
Dungeness,USWA,47.8700,-123.0800,1222.2,NaN,-0.4,HUC17
Easy Pass,USWA,48.8600,-121.4400,1606.3,NaN,-0.3,HUC17
Elbow Lake,USWA,48.6900,-121.9100,926.6,126.0,0.0,HUC17
Fish Lake,USWA,47.5400,-121.0900,1045.5,139.0,0.4,HUC17
Gold Axe Camp,USWA,48.9500,-118.9900,1633.7,NaN,0.0,HUC17
Gold Mountain,USWA,48.1900,-118.4600,1338.1,NaN,-0.4,HUC17
Green Lake,USWA,46.5500,-121.1700,1804.4,116.0,0.3,HUC17
Grouse Camp,USWA,47.2800,-120.4900,1642.9,112.0,0.5,HUC17
Harts Pass,USWA,48.7200,-120.6600,1978.2,124.0,0.4,HUC17
Huckleberry Creek,USWA,47.0700,-121.5900,685.8,NaN,0.0,HUC17
Indian Rock,USWA,45.9900,-120.8100,1633.7,NaN,-0.3,HUC17
June Lake,USWA,46.1500,-122.1500,1048.5,135.0,0.0,HUC17
Lone Pine,USWA,46.2700,-121.9600,1197.9,128.0,0.0,HUC17
Lost Horse,USWA,46.3600,-121.0800,1560.6,106.0,0.0,HUC17
Lyman Lake,USWA,48.2000,-120.9200,1822.7,100.0,0.0,HUC17
Lynn Lake,USWA,47.2000,-121.7800,1188.7,NaN,-0.2,HUC17
Marten Ridge,USWA,48.7600,-121.7000,1072.9,NaN,-0.3,HUC17
Meadows Pass,USWA,47.2800,-121.4700,984.5,146.0,-0.2,HUC17
MF Nooksack,USWA,48.8200,-121.9300,1514.9,NaN,0.6,HUC17
Morse Lake,USWA,46.9100,-121.4800,1649.0,100.0,NaN,HUC17
Moses Mtn,USWA,48.3600,-119.0800,1527.0,110.0,-0.2,HUC17
Mount Crag,USWA,47.7600,-123.0300,1207.0,123.0,NaN,HUC17
Mount Gardner,USWA,47.3600,-121.5700,890.0,107.0,-0.3,HUC17
Mowich,USWA,46.9300,-121.9500,963.2,NaN,0.0,HUC17
Muckamuck,USWA,48.5900,-119.8700,1362.5,NaN,-0.3,HUC17
Olallie Meadows,USWA,47.3700,-121.4400,1228.3,120.0,NaN,HUC17
Paradise,USWA,46.7800,-121.7500,1563.6,130.0,0.2,HUC17
Park Creek Ridge,USWA,48.4400,-120.9200,1402.1,121.0,0.6,HUC17
Pepper Creek,USWA,46.1000,-121.9600,652.3,NaN,-0.5,HUC17
Pigtail Peak,USWA,46.6200,-121.3900,1767.8,109.0,0.0,HUC17
Pinto Rock,USWA,46.3200,-121.9400,1353.3,NaN,0.8,HUC17
