SnowToday Calculated SWE Summary Data : 2023-05-08
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Emery Creek,48.4300,-113.9400,1325.9,NaN,NaN,0.0,USMT,HUC17,1701
Fisher Creek,45.0600,-109.9400,2773.7,25.3,104.0,0.3,USMT,HUC10,1007
Flattop Mtn.,48.8000,-113.8600,1920.2,0.0,73.0,-0.3,USMT,HUC17,1701
Frohner Meadow,46.4400,-112.1900,1975.1,11.0,80.0,-0.3,USMT,HUC10,1003
Garver Creek,48.9800,-115.8200,1295.4,7.6,NaN,-0.4,USMT,HUC17,1701
Grave Creek,48.9100,-114.7700,1310.6,3.2,NaN,0.0,USMT,HUC17,1701
Hand Creek,48.3100,-114.8400,1534.7,9.2,NaN,0.0,USMT,HUC17,1701
Hawkins Lake,48.9700,-115.9500,1966.0,18.9,63.0,-0.7,USMT,HUC17,1701
Hoodoo Basin,46.9800,-115.0300,1844.0,41.5,84.0,-0.8,USMT,HUC17,1701
JL Meadow,44.7800,-113.1200,2682.2,0.0,NaN,0.2,USMT,HUC10,1002
Kraft Creek,47.4300,-113.7800,1447.8,36.6,NaN,0.0,USMT,HUC17,1701
Lakeview Ridge,44.5900,-111.8200,2255.5,11.2,NaN,-0.4,USMT,HUC10,1002
Lemhi Ridge,44.9900,-113.4400,2468.9,34.3,100.0,0.0,USMT,HUC10,1002
Lick Creek,45.5000,-110.9700,2090.9,NaN,120.0,-0.2,USMT,HUC10,1002
Lone Mountain,45.2700,-111.4300,2706.6,12.2,115.0,0.0,USMT,HUC10,1002
Lower Twin,45.5100,-111.9200,2407.9,20.4,98.0,0.0,USMT,HUC10,1002
Lubrecht Flume,46.8800,-113.3200,1426.5,24.7,NaN,0.0,USMT,HUC17,1701
Madison Plateau,44.5900,-111.1200,2362.2,4.3,135.0,0.4,USMT,HUC10,1002
Many Glacier,48.8000,-113.6700,1493.5,16.4,NaN,0.0,USMT,N/A,N/A
Monument Peak,45.2200,-110.2400,2697.5,NaN,96.0,0.0,USMT,HUC10,1007
Moss Peak,47.6800,-113.9600,2066.5,9.9,100.0,0.3,USMT,HUC17,1701
Mount Lockhart,47.9200,-112.8200,1950.7,19.0,81.0,NaN,USMT,HUC10,1003
Mule Creek,45.4100,-112.9600,2529.8,NaN,93.0,0.3,USMT,HUC10,1002
N Fk Elk Creek,46.8700,-113.2800,1905.0,45.9,130.0,0.0,USMT,HUC17,1701
Nevada Ridge,46.8400,-112.5100,2139.7,5.7,93.0,-0.2,USMT,HUC17,1701
Nez Perce Camp,45.7300,-114.4800,1722.1,0.0,106.0,0.0,USMT,HUC17,1701
Noisy Basin,48.1600,-113.9500,1841.0,8.3,88.0,0.0,USMT,HUC17,1701
North Fork Jocko,47.2700,-113.7600,1929.4,19.7,NaN,NaN,USMT,HUC17,1701
Northeast Entrance,45.0100,-110.0100,2240.3,0.0,NaN,0.0,USMT,HUC10,1007
Onion Park,46.9100,-110.8500,2258.6,15.5,NaN,0.0,USMT,HUC10,1003
Peterson Meadows,46.1300,-113.3100,2194.6,0.0,109.0,0.0,USMT,HUC17,1701
Pickfoot Creek,46.5800,-111.2700,2026.9,0.0,NaN,NaN,USMT,HUC10,1003
Pike Creek,48.3000,-113.3300,1807.5,28.3,0.0,0.0,USMT,HUC10,1003
Placer Basin,45.4200,-110.0900,2691.4,17.5,80.0,0.0,USMT,HUC10,1007
Poorman Creek,48.1300,-115.6200,1554.5,14.4,77.0,-0.8,USMT,HUC17,1701
Porcupine,46.1100,-110.4700,1981.2,0.0,NaN,0.0,USMT,HUC10,1007
Rocker Peak,46.3600,-112.2600,2438.4,0.0,114.0,0.2,USMT,HUC10,1002
Rocky Boy,48.1700,-109.6500,1432.6,17.8,NaN,0.0,USMT,HUC10,1005
S Fork Shields,46.0900,-110.4300,2468.9,14.2,55.0,0.3,USMT,HUC10,1007
Sacajawea,45.8700,-110.9300,1996.4,10.0,NaN,-0.6,USMT,HUC10,1007
Saddle Mtn.,45.6900,-113.9700,2420.1,NaN,96.0,0.0,USID,HUC17,1706
Short Creek,44.9800,-111.9500,2133.6,28.6,NaN,0.0,USMT,HUC10,1002
Shower Falls,45.4000,-110.9600,2468.9,5.5,89.0,0.0,USMT,HUC10,1002
Skalkaho Summit,46.2400,-113.7700,2209.8,10.1,70.0,0.7,USMT,HUC17,1701
Sleeping Woman,47.1800,-114.3300,1874.5,4.6,75.0,-0.4,USMT,HUC17,1701
Spur Park,46.7800,-110.6200,2468.9,0.0,104.0,0.0,USMT,HUC10,1004
Stahl Peak,48.9100,-114.8600,1837.9,30.5,62.0,-0.5,USMT,HUC17,1701
Stringer Creek,46.9300,-110.9000,1996.4,0.0,NaN,0.2,USMT,HUC10,1003
Stuart Mountain,47.0000,-113.9300,2255.5,35.6,94.0,0.3,USMT,HUC17,1701
Tepee Creek,44.7900,-111.7100,2438.4,31.1,119.0,0.0,USMT,HUC10,1002
Tizer Basin,46.3500,-111.8500,2097.0,2.8,NaN,NaN,USMT,HUC10,1003
Twelvemile Creek,46.1400,-114.4500,1706.9,3.8,NaN,NaN,USMT,HUC17,1701
Twin Lakes,46.1400,-114.5100,1950.7,0.0,98.0,-0.6,USMT,HUC17,1701
Waldron,47.9200,-112.7900,1706.9,0.0,140.0,-0.6,USMT,HUC10,1003
Warm Springs,46.2700,-113.1600,2377.4,15.7,106.0,0.4,USMT,HUC17,1701
West Yellowstone,44.6600,-111.0900,2042.2,32.6,NaN,-0.2,USMT,HUC10,1002
Whiskey Creek,44.6100,-111.1500,2072.6,15.6,172.0,0.0,USMT,HUC10,1002
White Mill,45.0500,-109.9100,2651.8,0.0,104.0,0.2,USMT,HUC10,1007
Wood Creek,47.4500,-112.8100,1816.6,4.1,0.0,-1.2,USMT,HUC10,1003
Bateman,36.5100,-106.3200,2834.6,7.7,NaN,0.0,USNM,HUC13,1302
Chamita,36.9600,-106.6600,2560.3,9.0,NaN,0.0,USNM,HUC13,1302
Elk Cabin,35.7000,-105.8100,2502.4,23.2,NaN,NaN,USNM,HUC13,1302
Frisco Divide,33.7400,-108.9500,2438.4,17.5,NaN,0.0,USNM,HUC15,1504
Gallegos Peak,36.1900,-105.5600,2987.0,0.0,NaN,NaN,USNM,HUC13,1302
Garita Peak,36.0100,-106.5500,3096.8,28.1,NaN,0.0,USNM,HUC13,1302
Hopewell,36.7200,-106.2600,3048.0,0.0,112.0,-0.9,USNM,HUC13,1302
Lookout Mountain,33.3600,-107.8300,2590.8,20.0,NaN,NaN,USNM,HUC15,1504
Mcknight Cabin,33.0100,-107.8700,2816.4,40.8,NaN,NaN,USNM,HUC13,1303
Navajo Whiskey Ck,36.1800,-108.9500,2758.4,13.3,NaN,NaN,USNM,HUC14,1408
North Costilla,36.9900,-105.2600,3230.9,13.9,NaN,0.0,USNM,HUC13,1302
Palo,36.4100,-105.3300,2849.9,6.9,NaN,NaN,USNM,HUC13,1302
Quemazon,35.9200,-106.3900,2895.6,11.5,NaN,NaN,USNM,HUC13,1302
Red River Pass #2,36.7000,-105.3400,3002.3,7.6,NaN,0.0,USNM,HUC13,1302
Rice Park,35.2300,-108.2700,2578.6,37.2,NaN,NaN,USNM,HUC13,1302
Rio Santa Barbara,36.0700,-105.6300,3250.4,NaN,NaN,-1.1,USNM,HUC13,1302
San Antonio Sink,36.8600,-106.2300,2773.7,0.0,NaN,NaN,USNM,HUC13,1301
Santa Fe,35.7700,-105.7800,3488.4,16.0,NaN,-0.6,USNM,HUC13,1302
Senorita Divide #2,36.0000,-106.8300,2621.3,10.8,NaN,NaN,USNM,HUC13,1302
Shuree,36.7900,-105.2400,3078.5,NaN,NaN,NaN,USNM,HUC13,1302
Sierra Blanca,33.4000,-105.7900,3133.3,0.0,NaN,NaN,USNM,HUC13,1306
Signal Peak,32.9200,-108.1500,2548.1,15.2,NaN,NaN,USNM,HUC15,1504
Silver Creek Divide,33.3700,-108.7100,2743.2,20.1,NaN,0.0,USNM,HUC15,1504
Taos Powderhorn,36.5800,-105.4600,3370.2,0.0,NaN,-0.4,USNM,HUC13,1302
Tolby,36.4700,-105.1900,3102.9,17.0,NaN,0.0,USNM,HUC11,1108
Tres Ritos,36.1300,-105.5300,2621.3,0.0,NaN,NaN,USNM,HUC13,1302
Vacas Locas,36.0300,-106.8100,2836.5,10.3,NaN,NaN,USNM,HUC13,1302
Wesner Springs,35.7800,-105.5400,3389.4,5.2,NaN,NaN,USNM,HUC13,1306
Bear Creek,41.8300,-115.4500,2450.6,21.2,174.0,0.0,USNV,HUC17,1705
Berry Creek,39.3200,-114.6200,2858.1,0.0,221.0,0.2,USNV,HUC16,1606
Big Bend,41.7600,-115.6900,2102.5,22.1,NaN,-0.6,USNV,HUC17,1705
Big Creek Sum,39.2900,-117.1200,2647.2,14.3,234.0,0.0,USNV,HUC16,1606
Big Meadow,39.4500,-119.9400,2510.0,8.2,745.0,0.0,USNV,HUC16,1605
Bird Creek,39.4600,-114.6500,2297.3,23.4,NaN,0.0,USNV,HUC16,1606
Bristlecone Trail,36.3200,-115.7000,2709.7,22.4,NaN,0.0,USNV,HUC15,1501
Buckskin Lower,41.7500,-117.5300,2112.3,12.2,NaN,-0.7,USNV,HUC16,1604
Cave Mountain,39.1600,-114.6100,3224.2,29.9,NaN,0.0,USNV,HUC16,1606
Corral Canyon,40.2800,-115.5400,2574.0,12.1,248.0,0.0,USNV,HUC16,1604
Diamond Peak,39.5600,-115.8400,2443.6,NaN,NaN,0.0,USNV,HUC16,1606
Disaster Peak,41.9700,-118.1900,1908.0,NaN,NaN,0.0,USNV,HUC16,1604
Dorsey Basin,40.8900,-115.2100,2408.8,31.2,NaN,0.0,USNV,HUC16,1604
Draw Creek,41.6600,-115.3200,2234.8,5.1,NaN,-0.2,USNV,HUC16,1604
Dry Creek,40.8600,-115.2200,1998.0,24.2,NaN,0.0,USNV,HUC16,1604
Fawn Creek,41.8200,-116.1000,2143.0,4.2,279.0,0.0,USNV,HUC17,1705
Fry Canyon,41.5700,-115.9400,2072.0,19.3,NaN,0.0,USNV,HUC16,1604
Golconda,40.8800,-117.5900,2016.6,25.3,NaN,0.0,USNV,HUC16,1604
Granite Peak,41.6700,-117.5700,2591.7,0.0,263.0,0.0,USNV,HUC16,1604
Green Mountain,40.3800,-115.5300,2494.8,0.0,NaN,0.0,USNV,HUC16,1604
Hole-in-Mountain,40.9400,-115.1000,2488.1,0.0,NaN,0.0,USNV,HUC16,1606
Jack Creek Upper,41.5500,-116.0100,2248.5,NaN,197.0,0.0,USNV,HUC17,1705
Jacks Peak,41.5100,-116.0100,2567.6,0.0,NaN,NaN,USNV,HUC17,1705
Kalamazoo,39.5600,-114.6300,2369.8,NaN,NaN,0.0,USNV,HUC16,1606
Lamance Creek,41.5200,-117.6300,1949.2,0.0,NaN,0.0,USNV,HUC16,1604
Lamoille #3,40.6400,-115.3800,2453.9,8.4,NaN,0.0,USNV,HUC16,1604
Laurel Draw,41.7800,-116.0300,2036.7,NaN,NaN,0.0,USNV,HUC17,1705
Lee Canyon,36.3100,-115.6800,2629.2,NaN,NaN,-1.0,USNV,HUC15,1501
Lewis Peak,40.3600,-116.8600,2246.4,NaN,NaN,0.0,USNV,HUC16,1604
Little Valley,39.2500,-119.8800,1979.1,0.0,NaN,-1.3,USNV,HUC16,1605
Marlette Lake,39.1600,-119.9000,2403.0,NaN,1282.0,0.2,USNV,HUC16,1605
Merritt Mountain,41.8900,-115.8600,2107.7,NaN,NaN,NaN,USNV,HUC17,1705
Mt Rose Ski Area,39.3200,-119.8900,2682.5,0.0,239.0,0.0,USNV,HUC16,1605
ONeil Creek,41.8600,-115.0800,1987.3,NaN,NaN,0.0,USNV,HUC17,1704
Pole Canyon,40.8600,-115.1200,2365.2,3.2,NaN,-0.2,USNV,HUC16,1606
Pole Creek R.S.,41.8700,-115.2500,2548.1,NaN,133.0,0.2,USNV,HUC17,1705
Porter Canyon,39.4700,-117.6200,2190.6,12.9,NaN,0.0,USNV,HUC16,1606
Rainbow Canyon,36.2500,-115.6300,2395.7,NaN,NaN,0.0,USNV,HUC15,1501
Seventysix Creek,41.7400,-115.4700,2240.3,NaN,NaN,0.0,USNV,HUC17,1705
Sheldon,41.9000,-119.4400,1787.7,NaN,NaN,0.0,USNV,HUC17,1712
Summit Lk,41.4900,-119.0000,2321.1,NaN,NaN,0.0,USNV,HUC16,1604
Taylor Canyon,41.2300,-116.0300,1927.9,0.0,NaN,0.0,USNV,HUC17,1705
Toe Jam,41.3200,-116.3400,2343.9,21.2,NaN,0.0,USNV,HUC16,1604
Vacarro Springs,39.4500,-115.9800,2404.9,0.0,NaN,0.0,USNV,HUC16,1606
Ward Mountain,39.1300,-114.9600,2792.9,NaN,NaN,0.0,USNV,HUC15,1501
Wheeler Peak,39.0100,-114.3100,3066.3,NaN,NaN,0.0,USNV,HUC16,1602
Aneroid Lake #2,45.2100,-117.1900,2255.5,NaN,100.0,0.0,USOR,HUC17,1706
Annie Springs,42.8700,-122.1700,1831.8,24.9,NaN,-0.3,USOR,HUC18,1801
Arbuckle Mtn,45.1900,-119.2500,1758.7,28.7,NaN,0.0,USOR,HUC17,1707
Bear Grass,44.3300,-122.0900,1438.7,1.2,NaN,-0.4,USOR,HUC17,1709
Beaver Reservoir,45.1500,-118.2200,1569.7,32.7,NaN,-0.6,USOR,HUC17,1706
Big Red Mountain,42.0500,-122.8500,1844.0,36.5,156.0,0.0,USOR,HUC17,1710
Bigelow Camp,42.0800,-123.3400,1563.6,0.0,NaN,-0.2,USOR,HUC17,1710
Billie Creek Divide,42.4100,-122.2700,1609.3,0.0,800.0,0.0,USOR,HUC18,1801
Blazed Alder,45.4300,-121.8600,1112.5,3.4,196.0,-0.3,USOR,HUC17,1708
Blue Mountain Spring,44.2500,-118.5200,1789.2,24.6,NaN,0.3,USOR,HUC17,1707
Bourne,44.8300,-118.1900,1783.1,28.6,NaN,0.2,USOR,HUC17,1705
Bowman Springs,45.3600,-118.4700,1380.7,0.0,NaN,NaN,USOR,HUC17,1707
Cascade Summit,43.5900,-122.0600,1554.5,0.0,148.0,-0.2,USOR,HUC17,1707
Chemult Alternate,43.2300,-121.8100,1478.3,14.3,NaN,NaN,USOR,HUC18,1801
Clackamas Lake,45.1000,-121.7500,1036.3,9.3,NaN,-0.8,USOR,HUC17,1709
Clear Lake,45.1900,-121.6900,1161.3,0.0,NaN,-0.4,USOR,HUC17,1707
Cold Springs Camp,42.5300,-122.1800,1810.5,10.6,183.0,0.0,USOR,HUC18,1801
County Line,45.1900,-118.5500,1472.2,0.0,NaN,0.0,USOR,HUC17,1706
Crazyman Flat,42.6400,-120.9500,1883.7,0.0,NaN,0.0,USOR,HUC18,1801
Daly Lake,44.5200,-122.0900,1124.7,31.6,NaN,-0.7,USOR,HUC17,1709
Derr.,44.4500,-119.9300,1783.1,20.8,NaN,0.0,USOR,HUC17,1707
Diamond Lake,43.1900,-122.1400,1609.3,29.1,NaN,-0.3,USOR,HUC17,1710
Eilertson Meadows,44.8700,-118.1100,1679.4,17.1,NaN,-0.3,USOR,HUC17,1705
Emigrant Springs,45.5600,-118.4500,1158.2,NaN,NaN,0.0,USOR,HUC17,1707
Fish Creek,42.7100,-118.6300,2334.8,0.0,NaN,NaN,USOR,HUC17,1712
Fish Lk.,42.3800,-122.3500,1420.4,0.0,NaN,-0.2,USOR,HUC17,1710
Fourmile Lake,42.4400,-122.2300,1819.7,13.6,142.0,0.3,USOR,HUC18,1801
Gerber Reservoir,42.2100,-121.1300,1490.5,0.0,NaN,0.0,USOR,HUC18,1801
Gold Center,44.7600,-118.3100,1649.0,1.2,NaN,0.6,USOR,HUC17,1707
Greenpoint,45.6200,-121.7000,1008.9,9.8,NaN,NaN,USOR,HUC17,1707
High Ridge,45.7000,-118.1100,1499.6,2.5,282.0,-0.3,USOR,HUC17,1707
Hogg Pass,44.4200,-121.8600,1460.0,43.6,93.0,-0.8,USOR,HUC17,1709
Holland Meadows,43.6700,-122.5700,1502.7,NaN,747.0,-0.3,USOR,HUC17,1709
Howard Prairie,42.2200,-122.3700,1396.0,70.1,NaN,-0.5,USOR,HUC18,1801
Irish Taylor,43.8000,-121.9500,1688.6,0.0,NaN,NaN,USOR,HUC17,1707
Jump Off Joe,44.3900,-122.1700,1072.9,14.8,NaN,-0.7,USOR,HUC17,1709
King Mountain,42.7200,-123.2000,1322.8,24.0,NaN,-0.3,USOR,HUC17,1710
Lake Creek R.S.,44.2100,-118.6400,1597.2,0.0,NaN,0.0,USOR,HUC17,1705
Little Meadows,44.6100,-122.2300,1225.3,0.0,299.0,-0.6,USOR,HUC17,1709
Lucky Strike,45.2700,-118.8500,1514.9,5.3,NaN,0.0,USOR,HUC17,1707
Madison Butte,45.1100,-119.5000,1569.7,0.0,NaN,0.0,USOR,HUC17,1707
Marion Forks,44.5900,-121.9700,789.4,9.1,NaN,-0.7,USOR,HUC17,1709
Mckenzie,44.2100,-121.8700,1453.9,0.0,98.0,-0.5,USOR,HUC17,1709
Milk Shakes,45.9800,-117.9500,1700.8,13.3,NaN,0.2,USOR,HUC17,1707
Miller Woods,45.2500,-123.2800,128.0,0.0,NaN,NaN,USOR,HUC17,1709
Moss Springs,45.2700,-117.6900,1755.6,16.5,139.0,-0.2,USOR,HUC17,1706
Mt Hood Test Site,45.3200,-121.7200,1636.8,29.6,NaN,NaN,USOR,HUC17,1708
Mt. Howard,45.2700,-117.1700,2411.0,24.1,93.0,0.0,USOR,HUC17,1706
Mud Ridge,45.2500,-121.7400,1240.5,49.7,198.0,-0.6,USOR,HUC17,1708
New Crescent Lake,43.5100,-121.9800,1496.6,13.5,NaN,-0.6,USOR,HUC17,1707
North Fork,45.5500,-122.0000,932.7,71.7,1056.0,-0.7,USOR,HUC17,1708
Ochoco Meadows,44.4300,-120.3300,1655.1,1.8,NaN,0.0,USOR,HUC17,1707
Peavine Ridge,45.0400,-121.9300,1042.4,31.6,NaN,-0.9,USOR,HUC17,1709
Quartz Mountain,42.3200,-120.8300,1743.5,16.2,NaN,0.0,USOR,HUC18,1801
Railroad Overpass,43.6600,-122.2100,816.9,20.4,NaN,NaN,USOR,HUC17,1709
Red Hill,45.4600,-121.7000,1344.2,36.9,NaN,NaN,USOR,HUC17,1707
Roaring River,43.9000,-122.0300,1508.8,9.1,168.0,-0.5,USOR,HUC17,1709
Rock Springs,44.0100,-118.8400,1612.4,10.3,NaN,NaN,USOR,HUC17,1705
Saddle Mountain,45.5400,-123.3700,947.9,NaN,NaN,-0.6,USOR,HUC17,1709
Salt Creek Falls,43.6100,-122.1200,1286.3,31.3,378.0,-0.5,USOR,HUC17,1709
Santiam Jct.,44.4400,-121.9500,1140.0,NaN,NaN,-1.2,USOR,HUC17,1709
Schneider Meadows,45.0000,-117.1700,1645.9,3.8,220.0,0.0,USOR,HUC17,1705
Seine Creek,45.5300,-123.3000,627.9,5.6,NaN,0.0,USOR,HUC17,1709
Sevenmile Marsh,42.7000,-122.1400,1737.4,22.5,213.0,0.0,USOR,HUC18,1801
Silver Creek,42.9600,-121.1800,1749.6,0.0,NaN,0.0,USOR,HUC17,1712
Silvies,42.7500,-118.6900,2130.6,5.7,284.0,0.3,USOR,HUC17,1712
Smith Ridge,44.3000,-122.0400,996.7,8.1,NaN,NaN,USOR,HUC17,1709
Snow Mountain,43.9500,-119.5400,1898.9,8.2,NaN,0.0,USOR,HUC17,1712
South Fork Bull Run,45.4500,-122.0300,819.9,5.5,NaN,-0.6,USOR,HUC17,1708
Starr Ridge,44.2600,-119.0200,1600.2,2.2,NaN,NaN,USOR,HUC17,1712
Strawberry,42.1300,-120.8400,1758.7,0.0,NaN,0.0,USOR,HUC18,1801
Summer Rim,42.7000,-120.8000,2158.0,NaN,0.0,0.0,USOR,HUC18,1801
Summit Lake,43.4500,-122.1400,1709.9,7.5,104.0,-0.2,USOR,HUC17,1707
Sun Pass,42.7900,-121.9800,1645.9,23.9,NaN,0.0,USOR,HUC18,1801
Swan Lake Mtn,42.4100,-121.6800,2081.8,0.0,NaN,0.0,USOR,HUC18,1801
Taylor Butte,42.6900,-121.4300,1533.1,4.3,NaN,0.0,USOR,HUC18,1801
Taylor Green,45.0800,-117.5500,1749.6,NaN,287.0,-0.7,USOR,HUC17,1706
Three Creeks Meadow,44.1400,-121.6400,1734.3,26.4,94.0,-0.7,USOR,HUC17,1707
Tipton,44.6600,-118.4300,1569.7,16.8,NaN,0.3,USOR,HUC17,1705
Toketee Airstrip,43.2300,-122.4300,987.6,41.1,NaN,NaN,USOR,HUC17,1710
Wolf Creek,45.0700,-118.1500,1716.0,2.3,258.0,0.0,USOR,HUC17,1705
Blind Park,44.1100,-103.9800,2100.1,NaN,NaN,0.0,USSD,HUC10,1012
North Rapid Creek,44.2100,-103.7900,1868.4,9.0,NaN,0.0,USSD,HUC10,1012
Agua Canyon,37.5200,-112.2700,2712.7,3.2,NaN,0.0,USUT,HUC16,1603
Bear River RS,40.8900,-110.8300,2675.2,0.0,NaN,-0.2,USUT,HUC16,1601
Beaver Dams,39.1400,-111.5600,2435.4,41.0,NaN,-0.4,USUT,HUC16,1603
Beaver Divide,40.6100,-111.1000,2523.7,0.0,NaN,0.0,USUT,HUC16,1602
Ben Lomond Peak,41.3800,-111.9400,2343.6,0.0,273.0,-0.5,USUT,HUC16,1602
Ben Lomond Trail,41.3800,-111.9200,1820.3,7.4,NaN,-0.9,USUT,HUC16,1602
Bevans Cabin,40.4600,-112.2500,1987.3,31.6,NaN,0.0,USUT,HUC16,1602
Big Flat,38.3000,-112.3600,3154.4,38.6,193.0,0.0,USUT,HUC16,1603
Black Flat-U.M. Ck,38.6800,-111.6000,2869.4,NaN,NaN,-0.3,USUT,HUC14,1407
Blacks Fork Jct,40.9600,-110.5800,2703.3,24.4,NaN,-0.4,USUT,HUC14,1404
Bobs Hollow,38.9500,-112.1500,2840.4,NaN,NaN,0.0,USUT,HUC16,1603
Box Creek,38.5100,-112.0200,3003.2,15.7,NaN,-0.3,USUT,HUC16,1603
Box Springs,38.5000,-112.0100,2812.7,25.0,NaN,0.0,USUT,HUC16,1603
Brian Head,37.6800,-112.8600,3059.9,7.8,NaN,-0.3,USUT,HUC16,1603
Brighton,40.6000,-111.5800,2671.9,35.9,229.0,0.0,USUT,HUC16,1602
Brown Duck,40.5800,-110.5900,3223.0,3.2,150.0,0.0,USUT,HUC14,1406
Buck Flat,39.1300,-111.4400,2867.9,4.7,231.0,0.4,USUT,HUC14,1406
Buck Pasture,40.8400,-110.6600,2935.8,0.0,NaN,0.0,USUT,HUC14,1404
Buckboard Flat,37.8700,-109.4500,2720.0,NaN,NaN,-0.9,USUT,HUC14,1408
Bug Lake,41.6900,-111.4200,2434.4,NaN,258.0,0.0,USUT,HUC16,1601
Burts Miller Ranch,40.9800,-110.8500,2438.4,27.6,NaN,0.0,USUT,HUC16,1601
Camp Jackson,37.8100,-109.4900,2699.9,NaN,NaN,-1.0,USUT,HUC14,1408
Cascade Mountain,40.2800,-111.6100,2369.5,3.4,NaN,-0.6,USUT,HUC16,1602
Castle Valley,37.6600,-112.7400,2928.2,24.2,NaN,-1.5,USUT,HUC16,1603
Chalk Creek #1,40.8500,-111.0500,2795.3,6.3,152.0,0.0,USUT,HUC16,1602
Chalk Creek #2,40.8900,-111.0700,2501.8,28.6,NaN,NaN,USUT,HUC16,1602
Chepeta,40.7700,-110.0100,3200.1,0.0,183.0,0.2,USUT,HUC14,1406
Clayton Springs,37.9700,-111.8300,3062.9,38.5,NaN,0.0,USUT,HUC16,1603
Clear Creek #1,39.8700,-111.2800,2735.6,0.0,282.0,0.0,USUT,HUC16,1602
Clear Creek #2,39.8900,-111.2500,2388.7,15.2,NaN,-0.7,USUT,HUC16,1602
Corral,39.6600,-110.3800,2501.5,NaN,NaN,0.0,USUT,HUC14,1406
Currant Creek,40.3600,-111.0900,2412.5,10.0,NaN,-0.2,USUT,HUC14,1406
Daniels-Strawberry,40.3000,-111.2600,2440.8,4.1,NaN,-0.5,USUT,HUC16,1602
Dills Camp,39.0500,-111.4700,2812.7,NaN,NaN,0.0,USUT,HUC14,1407
Donkey Reservoir,38.2100,-111.4700,2986.7,0.0,NaN,0.0,USUT,HUC14,1407
Dry Bread Pond,41.4100,-111.5400,2530.4,0.0,321.0,0.0,USUT,HUC16,1601
Dry Fork,40.5700,-112.1700,2161.9,42.4,NaN,-0.5,USUT,HUC16,1602
East Willow Creek,39.3100,-109.5300,2530.4,15.5,NaN,-0.9,USUT,HUC14,1406
EF Blacks Fork GS,40.8800,-110.5400,2852.9,20.2,NaN,-0.3,USUT,HUC14,1404
Farmington,40.9700,-111.8100,2408.5,0.0,233.0,-0.3,USUT,HUC16,1602
Farmington Lower,40.9900,-111.8200,2066.2,14.2,NaN,NaN,USUT,HUC16,1602
Farnsworth Lake,38.7700,-111.6800,2933.1,5.9,137.0,0.0,USUT,HUC16,1603
Fish Lake Utah,38.5000,-111.7700,2681.6,6.5,NaN,-0.3,USUT,HUC14,1407
Five Points Lake,40.7200,-110.4700,3335.4,NaN,147.0,0.0,USUT,HUC14,1406
Garden City Summit,41.9200,-111.4700,2348.5,9.4,NaN,-0.2,USUT,HUC16,1601
Gardner Peak,37.4000,-113.4600,2536.5,0.0,NaN,NaN,USUT,HUC15,1501
GBRC HQ,39.3200,-111.4900,2682.5,0.0,NaN,0.0,USUT,HUC16,1603
GBRC Meadows,39.3000,-111.4500,3004.7,0.0,NaN,0.0,USUT,HUC16,1603
George Creek,41.9200,-113.4100,2732.2,3.8,NaN,0.0,USUT,HUC17,1704
Gooseberry RS,38.8000,-111.6800,2421.3,3.7,NaN,0.0,USUT,HUC16,1603
Gooseberry RS Up,38.7900,-111.6900,2559.1,11.8,NaN,-0.2,USUT,HUC16,1603
Gutz Peak,37.5000,-113.9400,2061.4,62.6,NaN,0.0,USUT,HUC15,1501
Hardscrabble,40.8700,-111.7200,2209.8,23.8,NaN,-0.8,USUT,HUC16,1602
Harris Flat,37.4900,-112.5800,2375.0,0.0,NaN,0.0,USUT,HUC16,1603
Hayden Fork,40.8000,-110.8800,2782.8,35.3,292.0,0.0,USUT,HUC16,1601
Hewinta,40.9500,-110.4800,2895.6,5.8,NaN,0.0,USUT,HUC14,1404
Hickerson Park,40.9100,-109.9600,2780.4,8.4,NaN,-0.3,USUT,HUC14,1404
Hobble Creek,40.1900,-111.3600,2248.5,17.2,NaN,-0.7,USUT,HUC16,1602
Hole-in-Rock,40.9200,-110.1900,2794.4,4.8,NaN,-0.2,USUT,HUC14,1404
Horse Ridge,41.3100,-111.4500,2499.1,0.0,365.0,0.0,USUT,HUC16,1602
Huntington Horse,39.6200,-111.3100,2941.9,24.9,NaN,0.0,USUT,HUC14,1406
Jones Corral,38.0700,-112.1700,2971.5,33.0,NaN,0.0,USUT,HUC16,1603
Kilfoil Creek,41.2500,-111.4100,2200.7,24.4,NaN,-0.5,USUT,HUC16,1602
Kimberly Mine,38.4800,-112.3900,2774.0,20.0,172.0,0.0,USUT,HUC16,1603
Kings Cabin,40.7200,-109.5400,2660.3,16.3,NaN,-0.3,USUT,HUC14,1406
Klondike Narrows,41.9700,-111.6000,2209.8,4.8,NaN,-0.4,USUT,HUC16,1601
Kolob,37.5300,-113.0500,2823.4,26.3,406.0,-0.6,USUT,HUC15,1501
Lakefork #1,40.6000,-110.4300,3087.0,0.0,182.0,0.2,USUT,HUC14,1406
Lakefork #3,40.5500,-110.3500,2579.8,6.0,NaN,-0.3,USUT,HUC14,1406
